Chidamber-Kemerer metrics,Sun, 4 Dec 2022 00:22:17 WET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
net.sourceforge.ganttproject.GPTreeTransferHandler,14,2,2,0,30,14
net.sourceforge.ganttproject.GPVersion,9,1,1,0,8,3
net.sourceforge.ganttproject.GanttChartTabContentPanel,17,2,3,0,40,15
net.sourceforge.ganttproject.GanttExportSettings,16,1,9,0,24,23
net.sourceforge.ganttproject.GanttGraphicArea,42,6,9,0,104,49
net.sourceforge.ganttproject.GanttGraphicArea.MouseSupport,3,1,1,0,5,4
net.sourceforge.ganttproject.GanttOptions,26,2,8,0,180,106
net.sourceforge.ganttproject.GanttOptions.GanttXMLOptionsParser,7,2,1,0,42,93
net.sourceforge.ganttproject.GanttPreviousState,14,1,3,0,32,10
net.sourceforge.ganttproject.GanttPreviousState.BaselineSaver,4,2,1,0,6,1
net.sourceforge.ganttproject.GanttPreviousStateTask,7,1,5,0,6,6
net.sourceforge.ganttproject.GanttProject,108,7,9,0,368,156
net.sourceforge.ganttproject.GanttProject.Args,2,1,0,0,0,0
net.sourceforge.ganttproject.GanttProject.ParserFactoryImpl,7,1,2,0,10,2
net.sourceforge.ganttproject.GanttProjectBase,54,6,31,1,132,59
net.sourceforge.ganttproject.GanttProjectBase.RowHeightAligner,6,1,1,0,9,2
net.sourceforge.ganttproject.GanttProjectImpl,22,1,21,1,54,33
net.sourceforge.ganttproject.GanttProjectImpl.DefaultTaskColorOption,4,3,3,0,8,5
net.sourceforge.ganttproject.GanttProjectImpl.TaskManagerConfigImpl,6,1,6,0,11,8
net.sourceforge.ganttproject.GanttResourcePanel,42,6,16,0,143,67
net.sourceforge.ganttproject.GanttSplash,4,6,2,0,21,5
net.sourceforge.ganttproject.GanttStatistics,3,1,2,0,38,24
net.sourceforge.ganttproject.GanttTask,11,2,2,0,19,5
net.sourceforge.ganttproject.GanttTree2,42,6,13,0,168,71
net.sourceforge.ganttproject.GanttTree2.GanttTreeDropListener,3,2,1,0,18,9
net.sourceforge.ganttproject.GanttTree2.GanttTreeExpansionListener,4,1,1,0,8,4
net.sourceforge.ganttproject.GanttTreeTable,19,8,4,0,62,23
net.sourceforge.ganttproject.GanttTreeTable.ModelListener,3,1,1,0,4,1
net.sourceforge.ganttproject.GanttTreeTableModel,32,3,9,0,125,75
net.sourceforge.ganttproject.GanttTreeTableModel.BeginDateComparator,2,1,1,0,3,1
net.sourceforge.ganttproject.GanttTreeTableModel.EndDateComparator,2,1,1,0,3,1
net.sourceforge.ganttproject.GanttTreeTableModel.Icons,1,1,0,0,2,0
net.sourceforge.ganttproject.GraphPanel,1,5,2,0,57,26
net.sourceforge.ganttproject.IGanttProject,n/a,n/a,n/a,n/a,28,n/a
net.sourceforge.ganttproject.Mediator,4,1,2,0,3,3
net.sourceforge.ganttproject.OSXAdapter,10,2,3,0,18,11
net.sourceforge.ganttproject.PluginOptionsHandler,2,2,1,0,9,5
net.sourceforge.ganttproject.PluginPreferencesImpl,4,1,13,0,55,40
net.sourceforge.ganttproject.PreferenceServiceImpl,0,1,19,0,19,19
