Lines of code metrics,domingo, 4 dez. 2022 22:59:46 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
biz.ganttproject.core.chart.canvas.Canvas.Text.toString(),0,0,4,4,"4,71%"
"biz.ganttproject.core.chart.canvas.Canvas.TextGroup.TextGroup(int, int, int, String...)",0,0,10,10,"14,29%"
"biz.ganttproject.core.chart.canvas.Canvas.TextGroup.addText(int, int, TextSelector)",0,0,5,5,"7,14%"
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getBottomY(),0,0,3,3,"4,29%"
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getBottomY(int),0,0,3,3,"4,29%"
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getColor(int),0,0,3,3,"4,29%"
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getFont(int),0,0,3,3,"4,29%"
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getLeftX(),0,0,3,3,"4,29%"
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getLine(int),0,0,3,3,"4,29%"
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getLineCount(),0,0,3,3,"4,29%"
"biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getTotalHeight(FontChooser, List<Integer>)",0,0,11,11,"15,71%"
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.setFonts(FontChooser),0,0,13,13,"18,57%"
"biz.ganttproject.core.chart.canvas.Canvas.bind(Shape, Object)",0,0,4,4,"0,76%"
biz.ganttproject.core.chart.canvas.Canvas.clear(),0,0,12,12,"2,29%"
"biz.ganttproject.core.chart.canvas.Canvas.createDetachedRectangle(int, int, int, int)",0,0,7,7,"1,34%"
biz.ganttproject.core.chart.canvas.Canvas.createLayers(int),0,0,5,5,"0,95%"
"biz.ganttproject.core.chart.canvas.Canvas.createLine(int, int, int, int)",0,0,5,5,"0,95%"
biz.ganttproject.core.chart.canvas.Canvas.createPolygon(int...),0,0,6,6,"1,15%"
"biz.ganttproject.core.chart.canvas.Canvas.createRectangle(int, int, int, int)",0,0,5,5,"0,95%"
"biz.ganttproject.core.chart.canvas.Canvas.createText(int, int, String)",0,0,5,5,"0,95%"
"biz.ganttproject.core.chart.canvas.Canvas.createText(int, int, TextSelector)",0,0,5,5,"0,95%"
"biz.ganttproject.core.chart.canvas.Canvas.createTextGroup(int, int, int, String...)",0,0,5,5,"0,95%"
biz.ganttproject.core.chart.canvas.Canvas.getLayer(int),0,0,6,6,"1,15%"
biz.ganttproject.core.chart.canvas.Canvas.getLayers(),0,0,3,3,"0,57%"
biz.ganttproject.core.chart.canvas.Canvas.getPrimitive(Object),0,0,3,3,"0,57%"
"biz.ganttproject.core.chart.canvas.Canvas.getPrimitive(int, int)",0,0,3,3,"0,57%"
"biz.ganttproject.core.chart.canvas.Canvas.getPrimitive(int, int, int, int)",1,0,20,19,"3,82%"
biz.ganttproject.core.chart.canvas.Canvas.newLayer(),0,0,5,5,"0,95%"
biz.ganttproject.core.chart.canvas.Canvas.paint(Painter),0,0,29,29,"5,53%"
"biz.ganttproject.core.chart.canvas.Canvas.setOffset(int, int)",3,0,7,4,"1,34%"
"biz.ganttproject.core.chart.canvas.DummySpatialIndex.Rect.Rect(T, int, int, int, int)",0,0,7,7,"38,89%"
biz.ganttproject.core.chart.canvas.DummySpatialIndex.Rect.toString(),0,0,4,4,"22,22%"
biz.ganttproject.core.chart.canvas.DummySpatialIndex.clear(),0,0,4,4,"7,69%"
"biz.ganttproject.core.chart.canvas.DummySpatialIndex.get(int, int)",0,0,4,4,"7,69%"
"biz.ganttproject.core.chart.canvas.DummySpatialIndex.get(int, int, int, int)",0,0,9,9,"17,31%"
"biz.ganttproject.core.chart.canvas.DummySpatialIndex.put(T, int, int, int, int)",0,0,5,5,"9,62%"
biz.ganttproject.core.chart.canvas.DummySpatialIndex.values(),0,0,3,3,"5,77%"
"biz.ganttproject.core.chart.canvas.FontChooser.FontChooser(Properties, TextMetrics, Supplier<Font>)",0,0,5,5,"5,56%"
biz.ganttproject.core.chart.canvas.FontChooser.decreaseBaseFontSize(),0,0,13,13,"14,44%"
biz.ganttproject.core.chart.canvas.FontChooser.getColor(String),0,0,3,3,"3,33%"
biz.ganttproject.core.chart.canvas.FontChooser.getFont(String),4,0,44,40,"48,89%"
biz.ganttproject.core.chart.canvas.FontChooser.getMarginBottom(String),0,0,6,6,"6,67%"
biz.ganttproject.core.chart.canvas.FontChooser.getMarginTop(String),0,0,6,6,"6,67%"
biz.ganttproject.core.chart.canvas.FontChooser.getTextHeight(String),0,0,7,7,"7,78%"
biz.ganttproject.core.chart.canvas.FontChooserTest.setUp(),0,0,5,5,"5,15%"
biz.ganttproject.core.chart.canvas.FontChooserTest.testBaseFontAbsoluteValue(),0,0,10,10,"10,31%"
biz.ganttproject.core.chart.canvas.FontChooserTest.testBaseFontIncrement(),0,0,16,16,"16,49%"
biz.ganttproject.core.chart.canvas.FontChooserTest.testCustomFamilyAbsolute(),0,0,16,16,"16,49%"
biz.ganttproject.core.chart.canvas.FontChooserTest.testCustomFamilyIncrement(),0,0,22,22,"22,68%"
biz.ganttproject.core.chart.canvas.FontChooserTest.testCustomFontSpec(),0,0,18,18,"18,56%"
biz.ganttproject.core.chart.canvas.FontChooserTest.testNoFontStyle(),0,0,7,7,"7,22%"
biz.ganttproject.core.chart.canvas.Painter.paint(Line),0,n/a,n/a,1,"7,14%"
biz.ganttproject.core.chart.canvas.Painter.paint(Polygon),0,n/a,n/a,1,"7,14%"
biz.ganttproject.core.chart.canvas.Painter.paint(Rectangle),0,n/a,n/a,1,"7,14%"
biz.ganttproject.core.chart.canvas.Painter.paint(Text),0,n/a,n/a,1,"7,14%"
biz.ganttproject.core.chart.canvas.Painter.paint(TextGroup),0,n/a,n/a,1,"7,14%"
biz.ganttproject.core.chart.canvas.Painter.prePaint(),1,n/a,n/a,1,"14,29%"
"biz.ganttproject.core.chart.canvas.SpatialIndex.get(int, int)",4,n/a,n/a,1,"25,00%"
